Site_Index	Partition_Index	Rate_Category
1	1	12
2	1	1
3	1	2
4	1	10
5	1	9
6	1	13
7	1	8
8	1	12
9	1	1
10	1	17
11	1	11
12	1	20
13	1	12
14	1	14
15	1	5
16	1	18
17	1	9
18	1	1
19	1	2
20	1	11
21	1	8
22	1	15
23	1	11
24	1	8
25	1	8
26	1	5
27	1	14
28	1	20
29	1	10
30	1	1
31	1	15
32	1	8
33	1	11
34	1	5
35	1	10
36	1	15
37	1	18
38	1	2
39	1	12
40	1	4
41	1	14
42	1	3
43	1	16
44	1	10
45	1	8
46	1	10
47	1	11
48	1	15
49	1	10
50	1	20
51	1	16
52	1	4
53	1	11
54	1	20
55	1	6
56	1	17
57	1	5
58	1	15
59	1	8
60	1	18
61	1	20
62	1	1
63	1	4
64	1	8
65	1	5
66	1	9
67	1	12
68	1	5
69	1	4
70	1	20
71	1	13
72	1	9
73	1	13
74	1	9
75	1	16
76	1	7
77	1	7
78	1	16
79	1	18
80	1	4
81	1	4
82	1	16
83	1	5
84	1	8
85	1	6
86	1	14
87	1	18
88	1	13
89	1	11
90	1	16
91	1	5
92	1	18
93	1	2
94	1	7
95	1	16
96	1	19
97	1	2
98	1	3
99	1	3
100	1	19
