Site_Index	Partition_Index	Rate_Category
1	1	15
2	1	12
3	1	11
4	1	3
5	1	15
6	1	12
7	1	14
8	1	6
9	1	15
10	1	19
11	1	18
12	1	10
13	1	16
14	1	9
15	1	17
16	1	19
17	1	3
18	1	19
19	1	15
20	1	9
21	1	3
22	1	3
23	1	1
24	1	15
25	1	13
26	1	16
27	1	12
28	1	11
29	1	6
30	1	8
31	1	4
32	1	6
33	1	17
34	1	15
35	1	2
36	1	12
37	1	15
38	1	18
39	1	1
40	1	1
41	1	19
42	1	19
43	1	7
44	1	4
45	1	18
46	1	10
47	1	20
48	1	14
49	1	14
50	1	5
51	1	8
52	1	3
53	1	11
54	1	20
55	1	10
56	1	7
57	1	1
58	1	13
59	1	12
60	1	17
61	1	2
62	1	11
63	1	4
64	1	17
65	1	6
66	1	4
67	1	13
68	1	11
69	1	6
70	1	18
71	1	8
72	1	2
73	1	6
74	1	8
75	1	7
76	1	2
77	1	13
78	1	7
79	1	13
80	1	9
81	1	12
82	1	9
83	1	6
84	1	12
85	1	12
86	1	4
87	1	19
88	1	4
89	1	16
90	1	17
91	1	3
92	1	20
93	1	4
94	1	8
95	1	10
96	1	8
97	1	16
98	1	11
99	1	7
100	1	4
