Site_Index	Partition_Index	Rate_Category
1	1	6
2	1	11
3	1	6
4	1	14
5	1	16
6	1	7
7	1	18
8	1	20
9	1	20
10	1	3
11	1	3
12	1	16
13	1	18
14	1	20
15	1	6
16	1	17
17	1	16
18	1	15
19	1	1
20	1	1
21	1	1
22	1	13
23	1	16
24	1	18
25	1	16
26	1	4
27	1	11
28	1	9
29	1	9
30	1	18
31	1	10
32	1	4
33	1	1
34	1	2
35	1	13
36	1	5
37	1	10
38	1	13
39	1	5
40	1	12
41	1	13
42	1	18
43	1	13
44	1	2
45	1	14
46	1	12
47	1	17
48	1	5
49	1	14
50	1	20
51	1	10
52	1	5
53	1	18
54	1	12
55	1	1
56	1	2
57	1	10
58	1	2
59	1	10
60	1	9
61	1	8
62	1	7
63	1	9
64	1	12
65	1	6
66	1	3
67	1	7
68	1	2
69	1	15
70	1	12
71	1	5
72	1	8
73	1	9
74	1	5
75	1	13
76	1	2
77	1	1
78	1	14
79	1	16
80	1	1
81	1	10
82	1	16
83	1	17
84	1	13
85	1	10
86	1	17
87	1	14
88	1	8
89	1	10
90	1	13
91	1	1
92	1	20
93	1	16
94	1	20
95	1	3
96	1	2
97	1	10
98	1	16
99	1	7
100	1	19
