Site_Index	Partition_Index	Rate_Category
1	1	1
2	1	7
3	1	16
4	1	15
5	1	4
6	1	11
7	1	4
8	1	3
9	1	8
10	1	6
11	1	13
12	1	16
13	1	12
14	1	15
15	1	20
16	1	14
17	1	20
18	1	3
19	1	7
20	1	17
21	1	2
22	1	16
23	1	7
24	1	1
25	1	4
26	1	8
27	1	2
28	1	8
29	1	13
30	1	1
31	1	6
32	1	1
33	1	19
34	1	3
35	1	16
36	1	12
37	1	6
38	1	10
39	1	14
40	1	10
41	1	16
42	1	16
43	1	13
44	1	16
45	1	1
46	1	8
47	1	17
48	1	17
49	1	17
50	1	17
51	1	4
52	1	6
53	1	13
54	1	19
55	1	7
56	1	20
57	1	3
58	1	11
59	1	14
60	1	12
61	1	10
62	1	9
63	1	5
64	1	9
65	1	14
66	1	18
67	1	12
68	1	17
69	1	20
70	1	15
71	1	11
72	1	15
73	1	7
74	1	13
75	1	9
76	1	8
77	1	15
78	1	4
79	1	2
80	1	14
81	1	15
82	1	5
83	1	19
84	1	10
85	1	2
86	1	15
87	1	17
88	1	14
89	1	16
90	1	13
91	1	1
92	1	18
93	1	4
94	1	16
95	1	6
96	1	18
97	1	12
98	1	3
99	1	10
100	1	6
