Site_Index	Partition_Index	Rate_Category
1	1	11
2	1	3
3	1	11
4	1	14
5	1	18
6	1	9
7	1	16
8	1	19
9	1	1
10	1	5
11	1	2
12	1	9
13	1	10
14	1	6
15	1	15
16	1	2
17	1	17
18	1	8
19	1	20
20	1	4
21	1	1
22	1	18
23	1	7
24	1	6
25	1	10
26	1	5
27	1	3
28	1	18
29	1	7
30	1	4
31	1	8
32	1	17
33	1	13
34	1	13
35	1	10
36	1	20
37	1	13
38	1	8
39	1	17
40	1	7
41	1	3
42	1	18
43	1	7
44	1	13
45	1	2
46	1	18
47	1	3
48	1	3
49	1	10
50	1	4
51	1	14
52	1	6
53	1	16
54	1	17
55	1	16
56	1	10
57	1	19
58	1	7
59	1	5
60	1	17
61	1	9
62	1	3
63	1	17
64	1	16
65	1	15
66	1	4
67	1	12
68	1	20
69	1	2
70	1	5
71	1	15
72	1	6
73	1	14
74	1	3
75	1	20
76	1	19
77	1	15
78	1	16
79	1	5
80	1	4
81	1	12
82	1	7
83	1	18
84	1	7
85	1	14
86	1	16
87	1	18
88	1	3
89	1	10
90	1	2
91	1	2
92	1	19
93	1	8
94	1	5
95	1	13
96	1	1
97	1	7
98	1	4
99	1	4
100	1	10
