Site_Index	Partition_Index	Rate_Category
1	1	1
2	1	9
3	1	7
4	1	20
5	1	9
6	1	3
7	1	15
8	1	8
9	1	5
10	1	10
11	1	3
12	1	4
13	1	18
14	1	5
15	1	2
16	1	12
17	1	2
18	1	11
19	1	16
20	1	3
21	1	13
22	1	6
23	1	15
24	1	4
25	1	15
26	1	2
27	1	14
28	1	1
29	1	17
30	1	4
31	1	13
32	1	16
33	1	7
34	1	10
35	1	18
36	1	19
37	1	9
38	1	1
39	1	15
40	1	14
41	1	6
42	1	1
43	1	4
44	1	13
45	1	5
46	1	19
47	1	9
48	1	14
49	1	10
50	1	5
51	1	15
52	1	17
53	1	17
54	1	18
55	1	3
56	1	14
57	1	18
58	1	1
59	1	5
60	1	1
61	1	20
62	1	4
63	1	6
64	1	4
65	1	12
66	1	20
67	1	12
68	1	14
69	1	6
70	1	14
71	1	17
72	1	14
73	1	20
74	1	12
75	1	8
76	1	3
77	1	5
78	1	4
79	1	1
80	1	20
81	1	15
82	1	10
83	1	15
84	1	7
85	1	5
86	1	1
87	1	6
88	1	13
89	1	20
90	1	8
91	1	5
92	1	3
93	1	3
94	1	15
95	1	1
96	1	11
97	1	10
98	1	16
99	1	19
100	1	12
