Site_Index	Partition_Index	Rate_Category
1	1	14
2	1	8
3	1	3
4	1	13
5	1	6
6	1	14
7	1	11
8	1	8
9	1	17
10	1	11
11	1	2
12	1	6
13	1	10
14	1	18
15	1	11
16	1	5
17	1	5
18	1	9
19	1	13
20	1	18
21	1	8
22	1	1
23	1	7
24	1	16
25	1	1
26	1	3
27	1	18
28	1	6
29	1	5
30	1	18
31	1	9
32	1	19
33	1	14
34	1	11
35	1	19
36	1	19
37	1	11
38	1	4
39	1	9
40	1	6
41	1	8
42	1	17
43	1	4
44	1	2
45	1	7
46	1	17
47	1	11
48	1	20
49	1	10
50	1	7
51	1	4
52	1	9
53	1	9
54	1	12
55	1	4
56	1	18
57	1	6
58	1	11
59	1	3
60	1	20
61	1	11
62	1	2
63	1	19
64	1	11
65	1	10
66	1	17
67	1	7
68	1	19
69	1	13
70	1	12
71	1	13
72	1	7
73	1	17
74	1	13
75	1	2
76	1	1
77	1	13
78	1	17
79	1	20
80	1	8
81	1	18
82	1	18
83	1	12
84	1	5
85	1	19
86	1	7
87	1	12
88	1	5
89	1	6
90	1	15
91	1	4
92	1	11
93	1	16
94	1	20
95	1	16
96	1	6
97	1	17
98	1	3
99	1	20
100	1	1
