Site_Index	Partition_Index	Rate_Category
1	1	16
2	1	11
3	1	19
4	1	10
5	1	14
6	1	5
7	1	5
8	1	9
9	1	11
10	1	9
11	1	20
12	1	19
13	1	8
14	1	15
15	1	7
16	1	14
17	1	1
18	1	9
19	1	12
20	1	14
21	1	6
22	1	20
23	1	3
24	1	2
25	1	9
26	1	2
27	1	13
28	1	18
29	1	1
30	1	13
31	1	17
32	1	12
33	1	12
34	1	11
35	1	7
36	1	3
37	1	16
38	1	15
39	1	2
40	1	10
41	1	15
42	1	4
43	1	16
44	1	17
45	1	5
46	1	6
47	1	1
48	1	9
49	1	12
50	1	9
51	1	5
52	1	18
53	1	6
54	1	12
55	1	18
56	1	14
57	1	4
58	1	4
59	1	7
60	1	2
61	1	7
62	1	5
63	1	18
64	1	8
65	1	5
66	1	12
67	1	5
68	1	8
69	1	6
70	1	16
71	1	1
72	1	2
73	1	20
74	1	1
75	1	8
76	1	11
77	1	1
78	1	7
79	1	6
80	1	4
81	1	19
82	1	14
83	1	16
84	1	2
85	1	17
86	1	5
87	1	10
88	1	5
89	1	2
90	1	6
91	1	7
92	1	6
93	1	6
94	1	6
95	1	12
96	1	13
97	1	6
98	1	5
99	1	15
100	1	17
