Site_Index	Partition_Index	Rate_Category
1	1	11
2	1	7
3	1	11
4	1	4
5	1	15
6	1	2
7	1	9
8	1	11
9	1	2
10	1	11
11	1	9
12	1	16
13	1	17
14	1	9
15	1	16
16	1	20
17	1	4
18	1	7
19	1	10
20	1	2
21	1	16
22	1	19
23	1	7
24	1	18
25	1	14
26	1	19
27	1	9
28	1	14
29	1	16
30	1	4
31	1	6
32	1	15
33	1	3
34	1	16
35	1	12
36	1	8
37	1	8
38	1	17
39	1	16
40	1	13
41	1	2
42	1	15
43	1	1
44	1	7
45	1	10
46	1	12
47	1	4
48	1	6
49	1	13
50	1	20
51	1	16
52	1	2
53	1	11
54	1	4
55	1	13
56	1	18
57	1	5
58	1	19
59	1	9
60	1	14
61	1	20
62	1	13
63	1	19
64	1	1
65	1	15
66	1	18
67	1	4
68	1	10
69	1	14
70	1	15
71	1	10
72	1	9
73	1	5
74	1	8
75	1	7
76	1	15
77	1	15
78	1	19
79	1	12
80	1	4
81	1	18
82	1	17
83	1	8
84	1	14
85	1	11
86	1	3
87	1	3
88	1	8
89	1	17
90	1	2
91	1	19
92	1	11
93	1	19
94	1	2
95	1	19
96	1	13
97	1	7
98	1	15
99	1	19
100	1	18
