Site_Index	Partition_Index	Rate_Category
1	1	17
2	1	20
3	1	14
4	1	17
5	1	19
6	1	3
7	1	15
8	1	10
9	1	14
10	1	14
11	1	1
12	1	14
13	1	9
14	1	1
15	1	12
16	1	13
17	1	12
18	1	11
19	1	12
20	1	9
21	1	10
22	1	3
23	1	8
24	1	17
25	1	14
26	1	12
27	1	12
28	1	15
29	1	17
30	1	6
31	1	12
32	1	17
33	1	8
34	1	8
35	1	10
36	1	4
37	1	14
38	1	2
39	1	3
40	1	20
41	1	9
42	1	10
43	1	9
44	1	9
45	1	3
46	1	18
47	1	9
48	1	19
49	1	17
50	1	14
51	1	7
52	1	1
53	1	13
54	1	20
55	1	7
56	1	4
57	1	18
58	1	17
59	1	18
60	1	1
61	1	7
62	1	17
63	1	3
64	1	14
65	1	20
66	1	6
67	1	19
68	1	17
69	1	16
70	1	16
71	1	15
72	1	5
73	1	15
74	1	15
75	1	13
76	1	5
77	1	16
78	1	20
79	1	12
80	1	10
81	1	18
82	1	15
83	1	15
84	1	20
85	1	2
86	1	3
87	1	11
88	1	12
89	1	2
90	1	4
91	1	9
92	1	5
93	1	8
94	1	15
95	1	2
96	1	4
97	1	6
98	1	15
99	1	11
100	1	5
