Site_Index	Partition_Index	Rate_Category
1	1	18
2	1	5
3	1	20
4	1	5
5	1	19
6	1	1
7	1	1
8	1	19
9	1	13
10	1	17
11	1	6
12	1	12
13	1	4
14	1	10
15	1	16
16	1	10
17	1	5
18	1	11
19	1	19
20	1	3
21	1	17
22	1	1
23	1	6
24	1	18
25	1	6
26	1	11
27	1	17
28	1	1
29	1	8
30	1	16
31	1	4
32	1	12
33	1	9
34	1	7
35	1	1
36	1	19
37	1	15
38	1	16
39	1	18
40	1	17
41	1	9
42	1	7
43	1	17
44	1	9
45	1	16
46	1	8
47	1	10
48	1	16
49	1	1
50	1	16
51	1	15
52	1	4
53	1	13
54	1	8
55	1	14
56	1	5
57	1	17
58	1	6
59	1	16
60	1	14
61	1	15
62	1	10
63	1	7
64	1	6
65	1	12
66	1	17
67	1	10
68	1	12
69	1	14
70	1	2
71	1	20
72	1	12
73	1	17
74	1	13
75	1	8
76	1	4
77	1	14
78	1	9
79	1	11
80	1	8
81	1	20
82	1	2
83	1	2
84	1	8
85	1	7
86	1	20
87	1	10
88	1	12
89	1	17
90	1	20
91	1	2
92	1	13
93	1	20
94	1	20
95	1	10
96	1	7
97	1	16
98	1	4
99	1	12
100	1	6
