Site_Index	Partition_Index	Rate_Category
1	1	13
2	1	6
3	1	10
4	1	20
5	1	8
6	1	10
7	1	12
8	1	8
9	1	6
10	1	5
11	1	19
12	1	7
13	1	13
14	1	7
15	1	9
16	1	12
17	1	13
18	1	5
19	1	12
20	1	19
21	1	18
22	1	19
23	1	6
24	1	7
25	1	10
26	1	7
27	1	10
28	1	13
29	1	4
30	1	2
31	1	7
32	1	11
33	1	15
34	1	14
35	1	14
36	1	17
37	1	13
38	1	20
39	1	5
40	1	19
41	1	14
42	1	19
43	1	9
44	1	4
45	1	8
46	1	11
47	1	19
48	1	8
49	1	3
50	1	12
51	1	19
52	1	12
53	1	2
54	1	1
55	1	2
56	1	16
57	1	16
58	1	10
59	1	4
60	1	1
61	1	8
62	1	6
63	1	6
64	1	9
65	1	2
66	1	6
67	1	11
68	1	13
69	1	16
70	1	18
71	1	7
72	1	4
73	1	19
74	1	13
75	1	2
76	1	8
77	1	3
78	1	3
79	1	14
80	1	20
81	1	13
82	1	15
83	1	1
84	1	18
85	1	11
86	1	18
87	1	3
88	1	11
89	1	7
90	1	15
91	1	11
92	1	6
93	1	7
94	1	15
95	1	10
96	1	16
97	1	8
98	1	18
99	1	9
100	1	6
