Site_Index	Partition_Index	Rate_Category
1	1	12
2	1	8
3	1	12
4	1	20
5	1	12
6	1	11
7	1	7
8	1	17
9	1	7
10	1	6
11	1	9
12	1	7
13	1	2
14	1	1
15	1	6
16	1	10
17	1	19
18	1	4
19	1	11
20	1	7
21	1	14
22	1	2
23	1	7
24	1	9
25	1	3
26	1	11
27	1	10
28	1	13
29	1	19
30	1	19
31	1	2
32	1	13
33	1	11
34	1	1
35	1	2
36	1	14
37	1	5
38	1	7
39	1	11
40	1	9
41	1	1
42	1	20
43	1	19
44	1	17
45	1	20
46	1	10
47	1	18
48	1	6
49	1	11
50	1	7
51	1	16
52	1	12
53	1	13
54	1	13
55	1	10
56	1	5
57	1	10
58	1	19
59	1	12
60	1	7
61	1	5
62	1	8
63	1	5
64	1	7
65	1	9
66	1	1
67	1	9
68	1	3
69	1	5
70	1	16
71	1	18
72	1	18
73	1	20
74	1	19
75	1	5
76	1	9
77	1	4
78	1	6
79	1	9
80	1	9
81	1	17
82	1	19
83	1	11
84	1	10
85	1	4
86	1	20
87	1	8
88	1	11
89	1	10
90	1	8
91	1	19
92	1	2
93	1	11
94	1	19
95	1	5
96	1	2
97	1	13
98	1	5
99	1	4
100	1	15
