Site_Index	Partition_Index	Rate_Category
1	1	15
2	1	7
3	1	11
4	1	19
5	1	11
6	1	10
7	1	12
8	1	14
9	1	13
10	1	7
11	1	7
12	1	2
13	1	14
14	1	7
15	1	15
16	1	10
17	1	5
18	1	8
19	1	2
20	1	13
21	1	17
22	1	9
23	1	10
24	1	15
25	1	13
26	1	6
27	1	11
28	1	6
29	1	14
30	1	18
31	1	17
32	1	5
33	1	8
34	1	2
35	1	9
36	1	16
37	1	10
38	1	6
39	1	6
40	1	20
41	1	18
42	1	7
43	1	20
44	1	16
45	1	17
46	1	13
47	1	12
48	1	14
49	1	18
50	1	9
51	1	9
52	1	2
53	1	6
54	1	15
55	1	12
56	1	13
57	1	8
58	1	2
59	1	19
60	1	13
61	1	15
62	1	3
63	1	12
64	1	8
65	1	3
66	1	1
67	1	13
68	1	17
69	1	12
70	1	19
71	1	2
72	1	9
73	1	9
74	1	19
75	1	7
76	1	2
77	1	20
78	1	11
79	1	7
80	1	7
81	1	8
82	1	7
83	1	16
84	1	11
85	1	16
86	1	15
87	1	20
88	1	19
89	1	20
90	1	17
91	1	6
92	1	14
93	1	1
94	1	1
95	1	5
96	1	20
97	1	8
98	1	20
99	1	14
100	1	3
