Site_Index	Partition_Index	Rate_Category
1	1	15
2	1	10
3	1	16
4	1	7
5	1	1
6	1	15
7	1	16
8	1	13
9	1	18
10	1	8
11	1	11
12	1	9
13	1	16
14	1	16
15	1	4
16	1	10
17	1	8
18	1	10
19	1	12
20	1	19
21	1	20
22	1	15
23	1	7
24	1	6
25	1	10
26	1	15
27	1	7
28	1	2
29	1	13
30	1	2
31	1	15
32	1	20
33	1	6
34	1	4
35	1	9
36	1	11
37	1	2
38	1	1
39	1	16
40	1	10
41	1	4
42	1	16
43	1	11
44	1	4
45	1	17
46	1	8
47	1	8
48	1	2
49	1	5
50	1	14
51	1	5
52	1	14
53	1	3
54	1	18
55	1	4
56	1	2
57	1	20
58	1	20
59	1	2
60	1	8
61	1	16
62	1	4
63	1	8
64	1	1
65	1	4
66	1	18
67	1	20
68	1	12
69	1	11
70	1	8
71	1	18
72	1	6
73	1	1
74	1	8
75	1	13
76	1	16
77	1	13
78	1	16
79	1	4
80	1	1
81	1	6
82	1	16
83	1	16
84	1	16
85	1	8
86	1	12
87	1	5
88	1	2
89	1	17
90	1	8
91	1	17
92	1	20
93	1	5
94	1	3
95	1	11
96	1	17
97	1	12
98	1	7
99	1	10
100	1	19
