Site_Index	Partition_Index	Rate_Category
1	1	3
2	1	14
3	1	4
4	1	9
5	1	10
6	1	2
7	1	17
8	1	6
9	1	7
10	1	5
11	1	18
12	1	12
13	1	4
14	1	1
15	1	11
16	1	3
17	1	1
18	1	17
19	1	16
20	1	17
21	1	20
22	1	8
23	1	20
24	1	19
25	1	14
26	1	20
27	1	4
28	1	2
29	1	10
30	1	12
31	1	10
32	1	5
33	1	5
34	1	17
35	1	15
36	1	12
37	1	3
38	1	16
39	1	6
40	1	18
41	1	15
42	1	2
43	1	11
44	1	1
45	1	15
46	1	8
47	1	20
48	1	1
49	1	3
50	1	11
51	1	20
52	1	8
53	1	9
54	1	18
55	1	16
56	1	8
57	1	6
58	1	2
59	1	14
60	1	14
61	1	2
62	1	18
63	1	16
64	1	17
65	1	20
66	1	2
67	1	6
68	1	7
69	1	13
70	1	3
71	1	16
72	1	13
73	1	11
74	1	14
75	1	5
76	1	3
77	1	15
78	1	19
79	1	20
80	1	17
81	1	8
82	1	9
83	1	2
84	1	16
85	1	16
86	1	4
87	1	12
88	1	20
89	1	13
90	1	13
91	1	10
92	1	16
93	1	15
94	1	4
95	1	19
96	1	3
97	1	1
98	1	14
99	1	15
100	1	8
