Site_Index	Partition_Index	Rate_Category
1	1	10
2	1	8
3	1	7
4	1	16
5	1	14
6	1	13
7	1	2
8	1	18
9	1	4
10	1	17
11	1	18
12	1	6
13	1	8
14	1	13
15	1	1
16	1	3
17	1	9
18	1	11
19	1	9
20	1	18
21	1	14
22	1	14
23	1	6
24	1	16
25	1	18
26	1	2
27	1	4
28	1	19
29	1	2
30	1	11
31	1	10
32	1	2
33	1	15
34	1	7
35	1	10
36	1	9
37	1	18
38	1	12
39	1	19
40	1	8
41	1	1
42	1	19
43	1	11
44	1	15
45	1	14
46	1	1
47	1	14
48	1	11
49	1	1
50	1	10
51	1	1
52	1	13
53	1	15
54	1	10
55	1	7
56	1	2
57	1	2
58	1	10
59	1	17
60	1	20
61	1	5
62	1	2
63	1	20
64	1	16
65	1	6
66	1	17
67	1	18
68	1	15
69	1	18
70	1	11
71	1	13
72	1	16
73	1	13
74	1	6
75	1	8
76	1	6
77	1	7
78	1	13
79	1	6
80	1	19
81	1	7
82	1	6
83	1	19
84	1	4
85	1	10
86	1	20
87	1	20
88	1	5
89	1	12
90	1	14
91	1	5
92	1	18
93	1	2
94	1	18
95	1	12
96	1	3
97	1	11
98	1	3
99	1	18
100	1	8
