Site_Index	Partition_Index	Rate_Category
1	1	1
2	1	18
3	1	3
4	1	9
5	1	13
6	1	11
7	1	3
8	1	20
9	1	8
10	1	4
11	1	7
12	1	4
13	1	16
14	1	17
15	1	13
16	1	9
17	1	16
18	1	14
19	1	12
20	1	10
21	1	16
22	1	17
23	1	4
24	1	14
25	1	10
26	1	9
27	1	7
28	1	1
29	1	5
30	1	9
31	1	2
32	1	9
33	1	16
34	1	15
35	1	19
36	1	9
37	1	11
38	1	6
39	1	13
40	1	7
41	1	12
42	1	10
43	1	13
44	1	6
45	1	12
46	1	10
47	1	5
48	1	12
49	1	3
50	1	15
51	1	11
52	1	5
53	1	10
54	1	20
55	1	2
56	1	11
57	1	6
58	1	4
59	1	4
60	1	4
61	1	5
62	1	14
63	1	4
64	1	15
65	1	12
66	1	9
67	1	1
68	1	11
69	1	2
70	1	15
71	1	10
72	1	6
73	1	17
74	1	7
75	1	2
76	1	20
77	1	3
78	1	16
79	1	16
80	1	4
81	1	19
82	1	3
83	1	3
84	1	16
85	1	8
86	1	15
87	1	12
88	1	11
89	1	11
90	1	18
91	1	19
92	1	2
93	1	12
94	1	1
95	1	14
96	1	6
97	1	2
98	1	2
99	1	8
100	1	9
