Site_Index	Partition_Index	Rate_Category
1	1	10
2	1	18
3	1	17
4	1	11
5	1	3
6	1	3
7	1	7
8	1	10
9	1	17
10	1	18
11	1	4
12	1	8
13	1	5
14	1	15
15	1	14
16	1	9
17	1	14
18	1	14
19	1	19
20	1	14
21	1	13
22	1	12
23	1	15
24	1	5
25	1	18
26	1	8
27	1	3
28	1	13
29	1	18
30	1	13
31	1	3
32	1	7
33	1	20
34	1	15
35	1	8
36	1	8
37	1	7
38	1	1
39	1	8
40	1	15
41	1	14
42	1	15
43	1	17
44	1	12
45	1	20
46	1	17
47	1	14
48	1	3
49	1	4
50	1	7
51	1	7
52	1	1
53	1	15
54	1	1
55	1	15
56	1	20
57	1	1
58	1	4
59	1	13
60	1	20
61	1	1
62	1	18
63	1	12
64	1	2
65	1	1
66	1	14
67	1	9
68	1	2
69	1	15
70	1	14
71	1	10
72	1	6
73	1	20
74	1	8
75	1	16
76	1	18
77	1	12
78	1	20
79	1	16
80	1	16
81	1	8
82	1	17
83	1	2
84	1	18
85	1	4
86	1	7
87	1	17
88	1	19
89	1	17
90	1	11
91	1	7
92	1	16
93	1	2
94	1	6
95	1	16
96	1	16
97	1	6
98	1	15
99	1	15
100	1	8
